id,userid,yearReg,companyName,companyWebsite,contactName,contactEmail,contactPhone,companyAddress1,companyAddress2,companyCity,companyState,companyZip,additionalContactInfo,previousAttendance,industry,majors,positionsAvailable,degreesNeeded,companyRegLocations,onlineEmpApplication,applicationHiringPolicy,numberRepsAttending,preferableDateofAttendance,attendingReception,companyProfile,paymentAddress1,paymentAddress2,paymentCity,paymentState,paymentZip,eligibleForDiscount,sponsorshipClass,dateCreated,dateModified,Building
63,116,2013,"Alcoa, Inc.",www.alcoa.com,Courtney Dunford,courtney.dunford@alcoa.com,412-553-2278,201 Isabella Street,,Pittsburgh,Pennsylvania,15212,,Yes,Manufacturing,AERO:AUTO:CHEME:CIVIL:CE:CS:EE:EP:ENV:IOE:MFE,Full-time:Summer Internship:,Bachelors:,West Coast:Southwest:Northeast:Northwest:Midwest:Southeast:,Please go to http://www.alcoacareers.com and apply for positions by searching “Job Openings in the United States.”,2,6,Tuesday September 24,Yes,"Alcoa is the world’s leading producer of primary aluminum, fabricated aluminum and alumina. In addition to inventing the modern-day aluminum industry, Alcoa innovation has been behind major milestones in the aerospace, automotive, packaging, building and construction, commercial transportation, consumer electronics and industrial markets over the past 120 years. Among the solutions Alcoa markets are flat-rolled products, hard alloy ext",,,,none,,,,5/1/2013 12:52,5/2/2013 6:28,EECS
184,191,2013,Allston Trading,www.allstontrading.com,Molly de Reyna,mdereyna@allstontrading.com,312-663-7234,440 S LaSalle,Suite 1200,Chicago,Illinois,60605,Chelsea Combs ccombs@allstontrading.com,No,Finance,CE:CS:EE:FE:EE Systems:,Full-time:Summer Internship:,PhD:Masters:Bachelors:,Midwest:,http://www.allstontrading.com/need.html,1,2,Tuesday September 24,Yes,"Allston Trading writes computer programs that automatically enter buy and sell orders into electronic markets to earn a profit for the firm. We're located just south of the Chicago Board of Trade in downtown Chicago, conveniently near mass transit. The firm employs about a hundred and fifty people, most of whom are nerds.",,,,none,,,,6/10/2013 16:33,6/10/2013 16:33,EECS
153,203,2013,Amazon,www.amazon.com,Jill Cunanan,up-postings@amazon.com,206-740-8808,440 Terry Ave N,,Seattle,Washington,98109,Lindsay Grant lgrant@amazon.com,Yes,Computer Software,CE:CS:,Full-time:,PhD:Masters:Bachelors:,West Coast:,https://w.amazon.com/index.php/Job_Description_Library/SDE/SDET_Full-Time,1,3,Monday September 23,No,"With a mission “to be Earth’s most customer-centric company, where customers can find and discover anything they might want to buy online, and endeavors to offer its customers the lowest possible prices,” Amazon.com and other sellers offer millions of unique new, refurbished, and used items in categories such as books; movies; music & games; digital downloads; electronics & computers; home & garden; toys;  grocery; apparel; shoes; and tools.",440 Terry Ave N,,Seattle,Washington,98109,,,5/23/2013 10:42,5/23/2013 10:42,EECS
288,357,2013,American Express,http://careers.americanexpress.com/students/,Brittany Rose,Brittany.Rose@aexp.com,212-640-1710,200 Vesey Street,,New York,New York,10285,,,Finance,CE:FE:IOE:,Full-time:Summer Internship:,Masters:Bachelors:,Southwest:Northeast:,,2,5,Tuesday September 24,Yes,"American Express is a global service company with a focus on the highly profitable, high-growth payments processing business. No other company offers a broader array of charge, lending, prepaid and co-brand cards for consumers, small businesses, midsize companies and large corporations. We are the card issuer of choice for high-spending Cardmembers, and much more.",,,,none,,,,7/30/2013 14:13,8/23/2013 14:49,EECS
260,323,2013,Amway,www.amway.com,Kelly Metsker,sue.mason@amway.com,616-787-5809,"7575 Fulton Street East, 78-1M",,Ada,Michigan,49355,"Kelly Metsker
kelly.metsker@amway.com",Yes,Manufacturing,CHEME:CE:CS:EE:ENV:IOE:MFE:MSE:ME:EE Systems:PHARM:,Summer Internship:,PhD:Masters:Bachelors:,West Coast:Midwest:,,1,5,Tuesday September 24,Yes,"As an $11.3 billion dollar pioneer in the direct selling industry, Amway has been helping the world live better lives since 1959.  Amway now employs 21,000 worldwide.  We are a consumer goods manufacturer supporting more than three million independent business owners who provide products and services in 100-plus countries and territories and we are based in Ada, Michigan.",,,,none,,,,7/18/2013 6:46,7/18/2013 6:47,EECS
79,136,2013,Analog Devices,www.analog.com,Erin Clark,analogdevices@nc3.com,401-642-1704,3 Technology Way,,Norwood,Massachusetts,2062,,Yes,Electronics,CHEME:CE:CS:EE:MSE:,Full-time:Summer Internship:,PhD:Masters:Bachelors:,Northeast:,www.analog.com/careers,1,4,Monday September 23,Yes,"Analog Devices, Inc. (NYSE: ADI) defines innovation and excellence in signal processing. ADI's analog, mixed-signal, and digital signal processing (DSP) integrated circuits (IC) play a fundamental role in converting, conditioning, and processing real-world phenomena such as light, sound, temperature, motion, and pressure into electrical signals to be used in a wide array of electronic equipment.",2 Pleasant Street,,Pawtucket,Rhode Island,2860,,,5/2/2013 10:02,5/2/2013 10:02,EECS
277,346,2013,Andersen Corporation,www.andersenwindows.com,Lisa Marty,lisa.marty@andersencorp.com,651-264-7063,100 4th Avenue North,,Bayport,Minnesota,55003,Abby Dalzell,Yes,Manufacturing,CHEME:IOE:MFE:MSE:ME:,Summer Internship:,Bachelors:,Midwest:,,1,3,Tuesday September 24,Yes,"Andersen Corporation is the largest and most recognized window brand in the world and is known internationally for its high standards for quality. Our commitment to product excellence, customer satisfaction, environmental stewardship, employee welfare and corporate citizenship, has built Andersen into the foremost manufacturer of windows and doors.",,,,none,,,,7/26/2013 6:41,7/26/2013 6:41,EECS
129,176,2013,Andreessen Horowitz,www.a16z.com,Jessica Hansen,jessica@a16z.com,650 798 5829,2865 Sand Hill Rd.,Suite 101,Menlo Park,California,94025,,Yes,Computer Software,CE:CS:,Full-time:Summer Internship:Co-Op:,PhD:Masters:Bachelors:,West Coast:Southwest:Northeast:Northwest:Midwest:Southeast:,,1,5,Monday September 23,Yes,"Andreessen Horowitz backs bold entrepreneurs who move fast, think big and are committed to building the next major franchises in technology. Founded by Marc Andreessen and Ben Horowitz, we provide entrepreneurs with access to our deep expertise and insights in innovation, business development, market intelligence, executive and technical talent, and marketing and brand building. Find us in Menlo Park, Calif., and at www.a16z.com.",,,,none,,,,5/14/2013 14:34,5/14/2013 14:34,EECS
43,88,2013,Anheuser-Busch InBev,www.ab-inbev.com,Fatima Qizilbash,fatima.qizilbash@mosaic.com,1.91E+11,1 Busch Place,,St. Louis,Missouri,63118,,Yes,Consumer Products,AERO:AOSS:AUTO:BME:CHEME:CIVIL:CE:CS:EE:ENV:,Full-time:,Bachelors:,West Coast:Southwest:Northeast:Northwest:Midwest:Southeast:,,2,5,Monday September 23,Yes,"Anheuser-Busch InBev is the leading global brewer and one of the world's top five consumer products companies. A true consumer-centric, sales driven company, Anheuser-Busch InBev manages a portfolio of nearly 300 brands. Geographically diversified with a balanced exposure to developed and developing markets, Anheuser-Busch InBev leverages the collective strengths of its 120,000 employees based in operations in over 30 countries across the world.",2700 Matheson Blvd East,"West Tower, 2nd Floor","Mississauga, ON Canada L4W 4V9",none,,,,5/1/2013 9:39,6/3/2013 11:48,EECS
130,181,2013,Apple,apple.com,Allison Rossi,allison_rossi@apple.com,408-974-1203,1 Infinite Loop,MS 105-1CE,Cupertino,California,95014,Alex Wrigley,Yes,Computer Software,CE:CS:EE:ME:,Full-time:Summer Internship:Co-Op:,PhD:Masters:Bachelors:,West Coast:,,1,10,Tuesday September 24,Yes,"Apple designs Macs, the best personal computers in the world, along with OS X, iLife, iWork and professional software. Apple leads the digital music revolution with its iPods and iTunes online store. Apple has reinvented the mobile phone with its revolutionary iPhone and App Store, and is defining the future of mobile media and computing devices with iPad.",,,,none,,,Gold,5/15/2013 10:00,5/21/2013 17:30,EECS
302,370,2013,Arbor Networks,http://www.arbornetworks.com/,Chassidy Thomas,chassidy.thomas@tekcomms.com,469-330-3587,3033 W President George Bush Highway,,Plano,Texas,75075,"Werner Carpio
werner.carpio@tekcomms.com",Yes,Computer Software,CE:CS:EE:,Full-time:Summer Internship:,Masters:Bachelors:,Northeast:Midwest:Southeast:,,1,4,Tuesday September 24,Yes,"Established in 2000, Arbor provides network security and management solutions for some of the world’s largest and most complex networks. Backed by the strength and stability of an $18B parent company, Arbor is an independent operating company with more than 300 employees and sales offices around the world.",,,,none,,,,8/5/2013 8:43,8/5/2013 8:43,EECS
151,190,2013,ARM,www.arm.com,Cassie Broyles,cassie.broyles@arm.com,512-485-1437,3711 S. Mopac Expressway,"Bldg One, Ste 400",Austin,Texas,78746,,No,Computer Hardware,CE:CS:EE:,Full-time:Summer Internship:,PhD:Masters:Bachelors:,Southwest:,,1,5,Monday September 23,Yes,ARM Holdings is the world's leading semiconductor intellectual property (IP) supplier. The technology we design is at the heart of many of the digital electronic products sold.,,,,none,,,,5/23/2013 8:57,5/23/2013 8:57,EECS
278,347,2013,"Autoliv ASP, Inc.",www.autoliv.com,AJ Miller,aj.miller@autoliv.com,248-276-3768,1320 Pacific Drive,,Auburn Hills,Michigan,48326,,Yes,Automotive & Transport Equipment,AUTO:EE:ME:EE Systems:,Full-time:,Masters:Bachelors:,West Coast:Midwest:,,2,5,Tuesday September 24,No,"Autoliv is the U.S. subsidiary of Autoliv, Inc., the worldwide leader in automotive safety, a pioneer in both seat belts and airbags, and a technology leader with the widest product offering for automotive safety. We develop, market, and manufacture airbags, seatbelts, safety electronics, steering wheels, as well as night vision systems and other active safety systems for the automotive industry.",,,,none,,,,7/26/2013 8:33,7/26/2013 8:33,EECS
297,362,2013,Avago Technologies,www.avagotech.com,Alexandra Harman,alex.harman@avagotech.com,970-288-4376,4380 Ziegler Rd,,Fort Collins,Colorado,80525,,No,Research & Development,CE:CS:EE:,Full-time:,Masters:Bachelors:,Southwest:,,1,1,Tuesday September 24,Yes,"Avago Technologies is a leading semiconductor company with innovations in RF, digital, and analog domains of the industry.",,,,none,,,,8/1/2013 14:56,8/1/2013 14:56,EECS
156,206,2013,Avencore,www.avencore.com,Michael Moore,michael.moore@avencore.com,617-893-1190,70 W Madison Street,Suite 1400,Chicago,Illinois,60602,,No,Consulting,AERO:CHEME:CIVIL:IOE:MFE:ME:NAME:NERS:,Full-time:,Masters:,Northeast:Midwest:,http://www.avencore.com/Join.html,2,2,Monday September 23,Yes,Avencore is a management consulting company specializing in enhancing the competitiveness of industrial companies: from product innovation to cost reduction.,30 SHEAFE ST,APT 2,BOSTON,Massachusetts,2113,,,5/24/2013 12:00,5/24/2013 12:00,EECS
138,187,2013,Avery Dennison,www.averydennison.com,Karyn Gottardi,karyn.gottardi@averydennison.com,508-383-3357,7 Bishop St,,Framingham,Massachusetts,1702,Mike Penny - mike.penny@averydennison.com,No,Manufacturing,CHEME:IOE:MFE:MSE:ME:,Full-time:,Bachelors:,Midwest:Southeast:,,1,4,Monday September 23,No,"Avery Dennison is a global leader in pressure-sensitive labeling materials, retail tag, ticketing and branding systems. Based in Pasadena, Calif., Avery Dennison is a FORTUNE 500 Company with 2011 sales of $6 billion. Avery Dennison employs more than 30,000 individuals in over 50 countries, who develop, manufacture and market a wide range of products for both consumer and industrial markets.",Avery Dennison attn: Karyn Gottardi,7 Bishop St,Framingham,Massachusetts,1702,,,5/16/2013 9:05,5/16/2013 9:05,EECS
227,286,2013,BAE Systems,www.baesystems.com,Brittany Neilson,brittany.neilson@baesystems.com,703-562-4876,1525 WILSON BLVD,SUITE 700,ARLINGTON,Virginia,22209,,Yes,Government,IOE:ME:,Full-time:Summer Internship:,Masters:Bachelors:,West Coast:Southwest:Northeast:Northwest:Midwest:Southeast:,Please visit our website (www.baesystems.jobs)and apply!,2,3,Tuesday September 24,No,"BAE Systems is a premier global defense and security company with approximately 100,000 employees delivering a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support and services.",1525 WILSON BLVD,SUITE 700,ARLINGTON,Virginia,22209,,,7/2/2013 10:35,7/2/2013 10:35,EECS
217,268,2013,"Baker Hughes, Inc.",www.bakerhughes.com,Dionne Smith,Dionne.Smith@bakerhughes.com,713-439-8106,2929 Allen Pkwy,Ste 2100,Houston,Texas,77019,,Yes,Energy,AERO:CHEME:CIVIL:CE:CS:EE:MSE:ME:EE Systems:,Full-time:Summer Internship:,PhD:Masters:Bachelors:,Southwest:Northeast:Northwest:Midwest:Southeast:,www.bakerhughes.com/graduate,1,8,Tuesday September 24,Yes,"About Baker Hughes
A top-tier oilfield service company with a century-long track record, Baker Hughes delivers solutions that help oil and gas operators make the most of their reservoirs.",2929 Allen Pkwy Ste 2100,,Houston,Texas,77019,,,6/26/2013 12:31,6/26/2013 12:31,EECS
148,202,2013,Barr Engineering Co.,www.barr.com,Megan Smith,msmith@barr.com,952-842-3607,4700 W 77th St.,,Minneapolis,Minnesota,55435,,Yes,Consulting,CHEME:CIVIL:EE:ENV:ME:EE Systems:,Full-time:Summer Internship:,PhD:Masters:Bachelors:,Midwest:,www.barr.com/careers,2,3,Tuesday September 24,Yes,"Barr is an employee-owned consulting company that integrates engineering & environmental expertise to help clients develop, manage, and restore natural resources. Our nearly 700 staff work with mining, power, refining, manufacturing and government clients. Projects include assessment & remediation of contaminated sites, engineering & design of structures & processes, environmental management & compliance assistance & water resources management.",,,,none,,,,5/22/2013 13:42,5/22/2013 13:42,EECS
29,77,2013,BASF Corporation,http://jobs.basf.us/,Lauren Holland,basf@nc3.com,401-642-1708,100 Park Avenue,,Florham Park,New Hampshire,7932,,Yes,Chemicals,CHEME:CIVIL:EE:ME:,Full-time:Summer Internship:,Masters:Bachelors:,West Coast:Southwest:Northeast:Northwest:Midwest:Southeast:,,2,4,Monday September 23,Yes,"BASF is the world’s leading chemical company – The Chemical Company. We combine economic success, social responsibility and environmental protection. Through science and innovation we enable our customers in almost all industries to meet the current and future needs of society. Our products and system solutions contribute to conserving resources, ensuring healthy food and nutrition and helping to improve quality of life.",2 Pleasant Street,,Pawtucket,Rhode Island,2860,,,5/1/2013 8:17,5/1/2013 8:17,EECS
311,377,2013,Bauer Controls,www.bauercontrols.com,Kelly Woodard,woodard@bauercontrols.com,734-233-3200,44190 Plymouth Oaks Blvd,,Plymouth,Michigan,48170,"Kristi Eidt, keidt@bauercontrols.com",Yes,Computer Software,CE:CS:EE:ME:,Full-time:,PhD:Masters:Bachelors:,Midwest:,jobs@bauercontrols.com,1,2,Tuesday September 24,No,"Bauer Controls is a leader in developing data collection, data analysis, test control, and data reporting software.  We also provide test integration services and develop production test applications.  

We are routinely recognized for our ability to exceed customer expectations by providing quality products and exceptional customer service.  We believe our staff is the foundation of our success and strive to hire only the most qualified people.",,,,none,,Yes,,8/27/2013 12:31,8/27/2013 12:31,EECS
199,253,2013,Baxter Healthcare,www.baxter.com,Nancy Hietala,nancy_hietala@baxter.com,224-270-5243,25212 W. Illinois Route 120,RLT2-E,Round Lake,Illinois,60073,,Yes,Healthcare Products & Services,BME:CHEME:IOE:MFE:MSE:ME:PHARM:,Full-time:Summer Internship:Co-Op:,Masters:Bachelors:,Midwest:,,2,5,Monday September 23,No,"Baxter Healthcare develops, manufactures and markets products that save and sustain the lives of people with hemophilia, immune disorders, infectious diseases, kidney disease, trauma, and other chronic and acute medical conditions. As a global, diversified healthcare company, Baxter applies a unique combination of expertise in medical devices, pharmaceuticals and biotechnology to create products that advance patient care worldwide",,,,none,,,,6/18/2013 13:05,6/18/2013 13:05,EECS
152,199,2013,Bechtel Corporation,www.bechtel.com,Jenifer Herr,college@bechtel.com,571-392-3866,12011 Sunset Hills Road,,Reston,Virginia,20190,,Yes,Materials & Construction,CHEME:CIVIL:CE:CS:EE:ENV:IOE:MSE:ME:NAME:NERS:EE Systems:,Full-time:Summer Internship:Co-Op:,PhD:Masters:Bachelors:,West Coast:Southwest:Northeast:,,2,7,Tuesday September 24,Yes,"The Bechtel group of companies is a global leader in engineering, construction, and project management. With 40 offices worldwide and projects in nearly 50 nations, Bechtel offers challenging careers in power; mining and metals; civil infrastructure; government services; communications; and oil, gas, and chemicals. Bechtel has worked on some of the most complex projects in history and has been the top-ranked U.S. contractor for 15 straight years.",,,,none,,,Platinum,5/23/2013 9:45,5/28/2013 13:23,EECS
264,329,2013,Becton Dickinson,www.bd.com,Joshua Herr,Joshua_Herr@bd.com,201-847-4971,1 Becton Drive,,Franklin Lakes,New Jersey,7417,,,Healthcare Products & Services,BME:CHEME:CE:EE:EP:IOE:IP:MFE:MSE:ME:EE Systems:PHARM:,Full-time:,PhD:Masters:,West Coast:Northeast:Northwest:Midwest:Southeast:,http://www.bd.com/us/careers/,1,3,Tuesday September 24,Yes,"BD is a medical technology company that serves healthcare institutions, life science researchers, clinical laboratories, industry and the general public. BD manufactures and sells a broad range of medical supplies, devices, laboratory equipment and diagnostic products. BD is headquartered in the United States and has offices in more than 50 countries worldwide.",,,,none,,,,7/22/2013 6:53,7/22/2013 6:53,EECS
281,349,2013,Behr America,http://behr.de/cms_usa.nsf/,Rose Fitzgerald,Rose.Fitzgerald@us.behrgroup.com,248-743-8014,2700 Daley Dr.,,Troy,Michigan,48083,George Church George.Church@us.behrgroup.com,Yes,Automotive & Transport Equipment,AUTO:EE:IOE:MFE:ME:EE Systems:,Full-time:Co-Op:,Masters:Bachelors:,Midwest:,https://career4.successfactors.com/career?career_company=behr&lang=en_US&company=behr,1,5,Tuesday September 24,No,"Behr America is part of the Behr Group. We develop, manufacture and integrate automotive heat transfer products and systems. Behr takes pride in its technical leadership and customer orientation. 

Our Technical Center in Troy, Michigan is our platform for our full range of engineering and program management services. Our modern manufacturing plants are located in Dayton, OH, Charleston, SC and Ramos Arizpe, Mexico.",,,,none,,,,7/29/2013 9:20,7/29/2013 9:20,EECS
81,134,2013,Belcan Corporation,www.belcan.com,Kate Pearson,kpearson@belcan.com,513-985-7596,10200 Anderson Way,,Cincinnati,Ohio,45242,,Yes,Aerospace,AERO:CE:CS:EE:ME:,Full-time:,Masters:Bachelors:,Northeast:Midwest:Southeast:,,2,2,Tuesday September 24,No,"Belcan Engineering is a global supplier of engineering services to a diverse spectrum of industries; including but not limited to Aerospace, Helicopter, Energy and Automotive. We are among the largest engineering companies in the U.S.  Our discipline-based cadre of engineering services covers product design from conceptual studies to aftermarket support.",7820 Redsky Drive,,Cincinnati,Ohio,45249,,,5/2/2013 11:18,5/2/2013 11:18,EECS
166,222,2013,Belden,www.belden.com,Lisa Boyer,lisa.boyer@belden.com,765-983-5389,2200 US HIghway 27 South,,Richmond,Indiana,47374,"Carlye Horn, carlye.horn@belden.com",No,Manufacturing,EE:IOE:MFE:ME:,Full-time:Summer Internship:,Bachelors:,Northeast:Midwest:,www.belden.com/careers,2,4,Monday September 23,Yes,"Belden Inc. offers highly engineered signal transmission products for mission-critical applications in diverse global markets.  Belden is a world leader in comprehensive copper and fiber cable, wireless technology, industrial networking, connectors and other transmission solutions. It has about 7,500 employees worldwide, and provides connectivity and value for industrial automation,education,healthcare,entertainment and other industries.",,,,none,,,,6/3/2013 14:40,6/3/2013 14:40,EECS
35,84,2013,BigMachines,www.bigmachines.com,Megan Hively,mhively@bigmachines.com,224-515-4335,570 Lake Cook Road #225,,Deerfield,Illinois,60015,,Yes,Computer Software,CE:CS:EE:EP:,Full-time:Summer Internship:,Masters:Bachelors:,Midwest:,www.bigmachines.com/jobs,2,5,Monday September 23,No,"BigMachines is the global leader in delivering cloud-based mission critical applications to the Fortune 2000. Our industry-leading solutions help companies Sell More and Sell Faster, configuring, pricing, and quoting their complex products.

For the fifth consecutive year we had two great distinctions: landing on the ""Inc 5000 list of Fastest Growing Companies"" and being voted #1 on Salesforce's AppExchange.",,,,none,,,,5/1/2013 9:08,5/1/2013 9:08,EECS
145,197,2013,Black & Veatch,www.bv.com,Julie Kaloustian,kaloustianja@bv.com,734 622-8739,3550 Green Court,,Ann Arbor,Michigan,48105,"Barb Pine, pineba@bv.com",Yes,Energy,CHEME:CIVIL:EE:ME:EE Systems:,Full-time:Summer Internship:,Masters:Bachelors:,Midwest:,"www.bv.com (""Careers"" then ""University Graduates"")",2,3,Monday September 23,No,"Black & Veatch strikes a balance that is rare for any industry. Our Mission sets the bar high “Building a World of Difference ®.” Founded in 1915, Black & Veatch is a leading global engineering, consulting and construction company. We specialize in the following major markets:  Energy, Water, Telecommunications, Federal, and Management Consulting.",,,,none,,,,5/21/2013 9:00,5/21/2013 9:00,EECS
318,417,2013,BlackRock,www.blackrock.com/campus,Tarry Chung,tarry.chung@blackrock.com,212-810-8369,40 East 52nd Street,,New York,New York,10022,,,Finance,CE:CS:FE:IOE:IP:,Full-time:,Masters:Bachelors:,West Coast:Northeast:Northwest:,www.blackrock.com/campus,1,2,Monday September 23,Yes,"BlackRock was founded to provide answers and leadership to the investors who entrust their money and their futures to us. As the world’s largest investment manager, with more than $3.7 trillion invested on behalf of our clients around the globe, BlackRock takes its responsibility to build better financial futures extremely seriously. That’s why we bring together the best and brightest people.",,,,none,,,,8/27/2013 22:44,8/27/2013 22:44,EECS
